net,length_um
_06524_,204.08
_19069_,204.04
_11817_,203.96
core.key3_reg\[3\],203.84
_18182_,203.82
_14328_,203.735
_10708_,203.22
core.key\[14\],203.16
_11557_,203.14
core.key0_reg\[26\],202.94
_07884_,202.92
_12313_,202.91
net994,202.9
_09852_,202.85
net190,202.84
_10524_,202.82
net391,202.82
_12319_,202.735
core.x9_reg\[21\],202.62
_14586_,202.6
core.x8_reg\[21\],202.5
core.key\[4\],202.38
net1371,202.34
_15607_,202.33
core.data_in_reg\[327\],202.195
data_out2_reg\[30\],202.08
_06298_,201.94
core.key4_reg\[26\],201.94
core.state10_reg\[29\],201.82
data_out9_reg\[0\],201.735
_09686_,201.72
net1143,201.66
_11759_,201.62
_14677_,201.56
_16926_,201.56
_06391_,201.5
core.qr3.y0\[3\],201.4
_08446_,201.34
core.key4_reg\[27\],201.28
_12137_,201.26
_12083_,201.02
_18708_,201.02
_13427_,200.88
_14966_,200.68
net1540,200.52
core.state10_reg\[30\],200.48
data_out0_reg\[26\],200.43
core.qr3.y0\[5\],200.36
data_out11_reg\[22\],200.34
_06415_,200.26
data_out11_reg\[2\],200.26
_07207_,200.18
core.state7_reg\[13\],200.18
net1329,199.93
_07144_,199.9
_09841_,199.9
core.key\[60\],199.9
_07377_,199.88
_14855_,199.84
_17056_,199.8
_19506_,199.78
_18590_,199.52
_06457_,199.5
_03810_,199.46
net4402,199.37
data_out0_reg\[12\],199.34
net851,199.315
_10479_,199.24
_09091_,199.11
_12638_,199.1
data_out0_reg\[15\],199.06
data_out5_reg\[5\],198.935
_18360_,198.9
_04585_,198.88
data_out7_reg\[18\],198.88
_19422_,198.87
_07857_,198.84
_07907_,198.78
net181,198.74
_06139_,198.58
_12535_,198.54
_10693_,198.52
data_out11_reg\[3\],198.5
_18693_,198.48
_13312_,198.34
_06023_,198.3
data_out11_reg\[21\],198.24
_10395_,198.14
core.x10_reg\[14\],198.14
core.key\[56\],198.12
core.key3_reg\[31\],198.08
_05571_,198.07
_13571_,198.03
data_out5_reg\[8\],197.765
_06257_,197.76
_13311_,197.72
_10955_,197.71
_12909_,197.7
data_out0_reg\[16\],197.6
_19694_,197.47
core.x10_reg\[19\],197.42
core.data_in_reg\[439\],197.28
_19503_,197.2
data_out0_reg\[6\],197.06
_09824_,197
net3058,196.84
_10859_,196.82
_11130_,196.815
_07421_,196.76
_18257_,196.72
core.key\[58\],196.68
net3395,196.615
_11705_,196.6
_18659_,196.44
_08790_,196.19
data_out11_reg\[15\],196.18
net4525,196.14
_11815_,196.12
_18640_,196.11
_11994_,196.08
_05399_,196
_12033_,195.98
_12551_,195.96
core.key\[59\],195.94
_14431_,195.78
net1716,195.52
_11722_,195.415
_06990_,195.21
_12420_,195.06
_18621_,195.06
data_out5_reg\[7\],195.01
_17946_,194.93
_11803_,194.9
net689,194.88
_11658_,194.82
_12129_,194.77
net2940,194.75
core.key\[30\],194.7
data_out2_reg\[31\],194.7
_18198_,194.62
_09307_,194.48
_03899_,194.34
_18240_,194.27
core.qr1.y0\[3\],194.26
_11771_,194.24
_19691_,194.23
net3343,194.12
_10273_,194.08
core.key\[2\],194
core.key\[1\],193.98
_17410_,193.94
net2816,193.92
_05534_,193.88
_18392_,193.8
_06255_,193.765
_16937_,193.72
net375,193.72
core.x9_reg\[9\],193.58
_05419_,193.56
_15424_,193.52
_09611_,193.42
net2932,193.3
core.qr0.y0\[7\],193.28
core.key\[26\],193.15
core.qr0.y0\[4\],193.14
_18280_,193.1
_08208_,193.06
data_out11_reg\[4\],192.98
_18606_,192.92
_06568_,192.9
_10964_,192.86
_12549_,192.82
_04461_,192.72
_04686_,192.68
_12030_,192.68
core.key\[54\],192.675
_10373_,192.64
_11730_,192.56
_10288_,192.48
_16256_,192.45
_18407_,192.2
_07926_,192.1
_05657_,192.06
_18375_,192.04
net1410,192.04
data_out7_reg\[17\],191.8
_18414_,191.76
_19075_,191.66
_17003_,191.54
net347,191.41
core.key\[57\],191.1
core.qr1.y0\[2\],191.08
_08185_,191.07
_18259_,191.04
data_out0_reg\[24\],191
core.x10_reg\[10\],190.98
core.key\[5\],190.88
_05811_,190.86
data_out11_reg\[23\],190.86
core.qr1.y0\[26\],190.84
_17211_,190.77
_11751_,190.765
core.x9_reg\[17\],190.68
_18225_,190.65
_17057_,190.56
_08952_,190.52
core.data_in_reg\[443\],190.455
net774,190.4
_11745_,190.36
_08498_,190.32
data_out11_reg\[9\],190.04
_12230_,190.02
_10079_,190
_15359_,189.85
net2911,189.82
_13330_,189.78
net4022,189.78
net594,189.76
_10754_,189.68
data_out5_reg\[0\],189.4
core.x9_reg\[15\],189.38
_13586_,189.34
_10316_,189.27
_12825_,189.2
_17444_,189.18
net389,189.1
data_out2_reg\[25\],188.98
_19746_,188.955
_13568_,188.895
_06699_,188.86
data_out3_reg\[25\],188.86
_17774_,188.8
_14980_,188.78
core.x9_reg\[14\],188.775
core.key\[13\],188.535
_11916_,188.5
_15720_,188.5
net515,188.22
_11766_,188.045
_19907_,187.905
_06513_,187.9
core.data_in_reg\[346\],187.88
net511,187.88
_14678_,187.86
core.x8_reg\[22\],187.86
_18786_,187.76
_09924_,187.74
_06378_,187.62
core.data_in_reg\[324\],187.6
_11795_,187.56
_09755_,187.26
_15616_,187.24
_09761_,187.18
_10997_,187.18
core.data_in_reg\[323\],187.155
core.data_in_reg\[437\],187.12
data_out3_reg\[26\],187
_07783_,186.9
_11135_,186.9
core.state6_reg\[9\],186.66
_12539_,186.6
data_out1_reg\[25\],186.59
core.qr3.y0\[6\],186.56
_12402_,186.32
_18566_,186.32
data_out5_reg\[4\],186.28
_06226_,186.24
_06242_,186.04
_06672_,186.02
_19910_,186.02
_06560_,185.94
core.x11_reg\[31\],185.92
_10266_,185.81
_14945_,185.76
data_out11_reg\[18\],185.68
_19123_,185.66
data_out6_reg\[3\],185.64
net3319,185.64
_06689_,185.58
_11682_,185.52
data_out6_reg\[18\],185.465
core.x12_reg\[1\],185.38
_04830_,185.31
_11217_,185.29
_16260_,185.22
ready_reg,185.15
_18270_,185.12
data_out3_reg\[23\],185.08
core.key\[62\],185.06
_11837_,185.02
core.key\[145\],185.015
_17096_,184.88
core.qr1.y0\[17\],184.8
_11127_,184.76
core.x9_reg\[7\],184.745
_19692_,184.66
_06234_,184.52
core.data_in_reg\[509\],184.44
core.iv0_reg\[13\],184.44
net3281,184.36
core.key\[3\],184.12
_12542_,183.96
_06081_,183.94
net155,183.78
net1965,183.76
_12390_,183.66
core.key\[53\],183.635
_18189_,183.59
_10951_,183.46
_09568_,183.29
_07321_,183.22
core.state7_reg\[9\],183.195
_18881_,183.1
net2865,183.01
net4058,182.96
_19118_,182.92
net2944,182.86
net3043,182.75
_10474_,182.74
_11902_,182.74
_17739_,182.7
_08263_,182.6
_15498_,182.6
_18154_,182.6
_19695_,182.57
core.key\[61\],182.54
net3249,182.24
core.key\[129\],182.22
core.state5_reg\[8\],182.21
core.data_in_reg\[37\],182.2
core.qr3.y0\[21\],182.18
net200,182.18
_19797_,182.16
_18236_,182.14
_18203_,182.135
core.key3_reg\[30\],181.9
core.key\[149\],181.725
_05848_,181.42
_04816_,181.38
_08784_,181.33
_11704_,181.275
data_out11_reg\[0\],181.1
_06142_,181.06
core.x8_reg\[19\],181.02
core.key\[73\],180.98
_10383_,180.96
_07058_,180.88
data_out3_reg\[24\],180.86
data_out3_reg\[5\],180.72
_18418_,180.69
net3339,180.56
_12057_,180.5
_10603_,180.38
_10325_,180.14
core.data_in_reg\[347\],180.1
_12572_,180.035
_06057_,179.995
net3746,179.98
_12824_,179.85
_10737_,179.74
_18124_,179.74
_18176_,179.69
net198,179.66
_07175_,179.56
core.key\[207\],179.52
_09332_,179.5
_19749_,179.32
core.key\[52\],179.28
core.key\[144\],179.135
net1563,179.08
_12054_,179.03
net3758,179.03
_03681_,179.01
_19800_,178.98
data_out11_reg\[14\],178.92
data_out2_reg\[27\],178.9
core.key\[42\],178.88
core.key\[11\],178.84
_11909_,178.81
core.key\[158\],178.735
_12006_,178.635
_19279_,178.62
_19072_,178.52
core.x12_reg\[6\],178.52
core.x10_reg\[31\],178.415
_18123_,178.38
_10843_,178.29
_07360_,178.27
_12050_,178.22
core.key\[205\],178.2
_17775_,178.195
_12039_,178.14
_12082_,178.12
_05299_,178.08
_18243_,178.025
_12047_,177.98
core.key4_reg\[24\],177.96
_12421_,177.94
_07364_,177.79
_11847_,177.6
net3586,177.395
_18179_,177.24
_18817_,177.18
_16495_,177
core.key\[47\],176.91
core.x10_reg\[11\],176.86
_11873_,176.8
_06663_,176.64
_12144_,176.56
_11701_,176.54
core.x10_reg\[7\],176.48
core.x8_reg\[10\],176.4
net3113,176.36
_07317_,176.34
data_out3_reg\[19\],176.14
core.key\[101\],176.1
core.qr1.y0\[23\],176.08
_12072_,176.01
_06244_,175.92
_11832_,175.86
data_out10_reg\[18\],175.8
_06684_,175.735
_12761_,175.68
_17494_,175.67
_17789_,175.62
core.x8_reg\[9\],175.42
_16051_,175.4
_16231_,175.28
_10899_,175.255
_10262_,175.22
net4152,175.2
_15478_,175.19
_05992_,175.16
_13517_,174.98
_12415_,174.94
_12019_,174.86
_11313_,174.72
data_out3_reg\[28\],174.7
_06464_,174.64
_17724_,174.57
data_out5_reg\[3\],174.56
_15724_,174.44
_08072_,174.355
core.state7_reg\[10\],174.34
_14148_,174.32
_08507_,174.31
_18282_,174.28
_15108_,174.27
_10721_,174.23
_05080_,174.2
_18246_,174.175
_06400_,174.16
_09759_,174.16
_06332_,174.12
_11309_,174.04
_10085_,174.02
data_out2_reg\[26\],173.88
_16570_,173.8
net3204,173.78
core.key\[151\],173.62
data_out6_reg\[16\],173.575
core.x8_reg\[20\],173.52
_00005_,173.485
_17728_,173.46
_08749_,173.4
core.qr1.y0\[19\],173.28
_12023_,173.27
_15078_,173.26
_06240_,173.245
_17771_,173.22
data_out11_reg\[5\],173.2
core.key\[87\],173.115
_12410_,173.04
_06374_,173.02
_07392_,172.98
_18758_,172.84
_13315_,172.82
_04707_,172.74
_06135_,172.72
_06229_,172.68
core.key\[51\],172.6
core.qr3.y0\[20\],172.57
_08279_,172.48
_06145_,172.44
_07949_,172.34
_06237_,172.26
_10115_,172.25
data_out7_reg\[19\],172.24
_13873_,172.04
_08354_,171.98
_12042_,171.84
core.key\[204\],171.82
data_out1_reg\[31\],171.78
_10574_,171.62
_06884_,171.58
core.key\[9\],171.44
data_out3_reg\[14\],171.42
core.key\[46\],171.38
data_out6_reg\[14\],171.33
_10798_,171.19
_17405_,171.14
_09337_,170.89
_14908_,170.86
core.key\[8\],170.8
_16750_,170.74
_19132_,170.72
_06132_,170.68
net3620,170.68
_04658_,170.64
_11809_,170.54
data_out11_reg\[11\],170.52
core.key\[43\],170.5
_10772_,170.42
_10660_,170.395
core.key\[74\],170.315
data_out1_reg\[27\],170.3
_06526_,170.1
_08268_,170
_13446_,170
_10738_,169.95
_16526_,169.95
net228,169.82
_14172_,169.72
_14874_,169.64
_11798_,169.56
_14701_,169.46
core.key\[105\],169.46
core.x9_reg\[3\],169.3
data_out6_reg\[19\],169.285
core.key\[12\],169.28
_06371_,169.16
_10858_,169.12
core.data_in_reg\[218\],169.12
core.key\[79\],169.08
core.key\[132\],169.075
_18652_,169.06
core.key\[63\],169.02
core.x10_reg\[18\],168.93
core.data_in_reg\[57\],168.88
core.x10_reg\[17\],168.84
_13621_,168.8
net930,168.8
_09613_,168.74
_15719_,168.7
_06696_,168.66
_08411_,168.64
core.x8_reg\[6\],168.58
net3616,168.52
data_out5_reg\[1\],168.505
_18753_,168.46
net2411,168.42
core.data_in_reg\[438\],168.38
_14311_,168.14
core.key\[146\],168.125
_14938_,168.04
data_out8_reg\[6\],168.02
_06727_,168.01
net3195,167.96
core.qr3.y0\[22\],167.94
_11775_,167.9
core.key2_reg\[13\],167.88
net274,167.84
_15124_,167.635
_11736_,167.62
core.data_in_reg\[444\],167.62
net2974,167.6
_17803_,167.58
net355,167.54
_18397_,167.5
_18183_,167.48
data_out3_reg\[30\],167.46
data_out3_reg\[18\],167.42
_12411_,167.36
net3409,167.22
core.x8_reg\[16\],167.17
core.qr3.y0\[26\],167.1
net399,167.05
_15101_,167.02
_07284_,166.92
_10783_,166.92
_06293_,166.9
_04835_,166.74
data_out0_reg\[28\],166.66
_18767_,166.6
_04526_,166.58
data_out0_reg\[5\],166.47
_10649_,166.44
net367,166.2
data_out3_reg\[31\],166.18
core.qr0.y0\[26\],166.16
_12013_,166
_13327_,165.98
_05052_,165.94
core.data_in_reg\[436\],165.9
_10586_,165.84
data_out10_reg\[14\],165.76
_16600_,165.56
net1594,165.56
_05981_,165.54
_11828_,165.46
data_out6_reg\[2\],165.415
_06754_,165.4
_10298_,165.34
_04022_,165.3
_05997_,165.18
_07096_,165.18
net3600,165.12
_11823_,164.98
core.data_in_reg\[301\],164.98
core.data_in_reg\[26\],164.85
_11009_,164.66
core.key\[70\],164.645
_12133_,164.64
core.key\[45\],164.54
_04543_,164.44
_11783_,164.28
core.key\[120\],164.22
_10947_,164.18
_16949_,164.18
_18672_,164.16
_12141_,164.06
_10698_,164.02
_13599_,164.02
_09739_,163.88
_10996_,163.88
_18382_,163.68
_15279_,163.6
_19450_,163.58
_15490_,163.56
_18145_,163.54
core.key\[50\],163.45
_16942_,163.325
_19801_,163.32
net3057,163.26
_16959_,163.24
_18319_,163.22
core.qr1.y0\[25\],163.22
_10348_,163.12
core.data_in_reg\[240\],163.11
_18744_,163.08
_08410_,163.02
core.x9_reg\[18\],163
_16954_,162.96
_11031_,162.87
core.state12_reg\[24\],162.84
core.key\[100\],162.81
core.data_in_reg\[61\],162.78
_09956_,162.74
_03764_,162.72
_08336_,162.72
_04446_,162.695
_11938_,162.64
data_out0_reg\[8\],162.6
core.qr0.y0\[24\],162.46
_10829_,162.36
_16646_,162.32
_17093_,162.04
_08619_,161.98
_14853_,161.96
_05274_,161.94
data_out1_reg\[28\],161.94
_15830_,161.92
_18795_,161.92
core.data_in_reg\[322\],161.77
_09322_,161.76
_05577_,161.73
_06027_,161.72
_16254_,161.72
_06535_,161.66
_16238_,161.58
data_out0_reg\[19\],161.54
core.key\[44\],161.44
core.x10_reg\[12\],161.4
core.iv1_reg\[28\],161.38
data_out5_reg\[2\],161.3
core.key\[49\],161.295
_13578_,161.26
_18772_,161.14
core.key3_reg\[28\],161.1
_18718_,161.09
_04663_,161.04
_12117_,160.78
_16488_,160.75
_12104_,160.68
_06467_,160.66
core.data_in_reg\[400\],160.61
_16226_,160.5
data_out1_reg\[26\],160.48
core.iv1_reg\[29\],160.24
net3835,160.24
core.key3_reg\[26\],160.16
data_out10_reg\[15\],160.14
data_out10_reg\[17\],160.12
core.key\[148\],160.075
_17419_,160.04
_10580_,160.02
data_out7_reg\[15\],159.98
_03965_,159.955
_12417_,159.93
data_out10_reg\[11\],159.8
net220,159.54
data_out0_reg\[11\],159.52
core.key\[72\],159.425
_18074_,159.41
net848,159.4
core.key3_reg\[29\],159.36
net38,159.32
net413,159.2
_10784_,159.15
net3169,159.12
_18159_,159.1
_11694_,159.095
core.data_in_reg\[58\],159.08
_09958_,159.02
data_out3_reg\[29\],159
core.key\[113\],158.96
_12174_,158.94
_14102_,158.92
data_out11_reg\[17\],158.92
data_out10_reg\[19\],158.88
_12160_,158.84
_09570_,158.77
_06297_,158.76
_08381_,158.72
net359,158.7
_19454_,158.68
core.key2_reg\[2\],158.66
core.key\[147\],158.625
_18133_,158.54
_19012_,158.52
_17931_,158.315
_11985_,158.295
_19131_,158.29
_10251_,158.2
data_out3_reg\[16\],158.2
_16109_,158.12
_05881_,158.08
net3141,158
_07395_,157.975
_18910_,157.93
core.x10_reg\[13\],157.92
_10836_,157.9
data_out11_reg\[10\],157.82
_05472_,157.76
core.key\[16\],157.76
net2407,157.72
data_out3_reg\[10\],157.6
data_out10_reg\[13\],157.54
_10570_,157.48
_07989_,157.46
_13064_,157.44
_14708_,157.38
_11018_,157.34
core.data_in_reg\[38\],157.32
_08830_,157.27
_18314_,157.22
_05194_,157.2
_12064_,157.19
_08771_,156.98
_06556_,156.92
core.data_in_reg\[302\],156.92
_08539_,156.74
_15500_,156.72
_10588_,156.685
_19479_,156.66
core.key3_reg\[27\],156.48
net3109,156.45
core.key\[78\],156.425
_15157_,156.4
_11164_,156.34
core.iv1_reg\[26\],156.24
_05567_,156.12
_16512_,156.12
data_out7_reg\[20\],156.08
core.key\[112\],156.055
net1269,155.97
_16312_,155.96
net910,155.95
_17731_,155.84
_09283_,155.81
net429,155.78
_08335_,155.755
_10746_,155.66
data_out0_reg\[29\],155.64
_10492_,155.6
data_out11_reg\[7\],155.6
core.x9_reg\[2\],155.5
_11090_,155.46
_18677_,155.46
core.key\[107\],155.46
core.key\[131\],155.44
data_out0_reg\[20\],155.42
_19441_,155.4
_16264_,155.36
net111,155.34
_18366_,155.22
core.key\[130\],155.2
_08392_,155.06
core.key\[206\],155.06
_19511_,154.92
core.x10_reg\[16\],154.86
core.data_in_reg\[445\],154.84
_06461_,154.82
_11740_,154.78
_08697_,154.77
_13122_,154.62
data_out10_reg\[20\],154.62
_17906_,154.61
_14526_,154.56
_04240_,154.54
data_out7_reg\[21\],154.54
core.x10_reg\[15\],154.485
_19853_,154.38
net3009,154.38
_07106_,154.37
net3527,154.32
_12434_,154.24
data_out7_reg\[16\],154.24
_04019_,154.2
_18662_,154.2
_18075_,154.18
_16699_,154.14
_06295_,154.02
data_out0_reg\[17\],154.02
core.key\[104\],153.98
net2964,153.72
_03971_,153.66
core.x9_reg\[5\],153.66
_05829_,153.38
data_out10_reg\[9\],153.34
net3072,153.32
_11756_,153.26
_18325_,153.24
data_out2_reg\[24\],153.22
_05415_,153.205
_09725_,153.11
_16681_,152.98
_10466_,152.96
net3540,152.94
core.key\[150\],152.865
_05969_,152.86
data_out0_reg\[23\],152.85
_14564_,152.825
data_out11_reg\[13\],152.58
_14450_,152.54
core.x8_reg\[18\],152.54
_05974_,152.46
_10257_,152.24
_16753_,152.16
_12416_,152.12
_12678_,152.04
net4729,152
_03949_,151.79
_08196_,151.79
_13184_,151.76
_10123_,151.72
_10230_,151.7
_19850_,151.7
_17709_,151.66
_18078_,151.66
_06875_,151.64
core.key\[28\],151.5
data_out10_reg\[10\],151.43
net2316,151.32
core.iv1_reg\[27\],151.26
data_out0_reg\[10\],151.24
core.block1_ctr_reg\[20\],151.22
_10077_,151.16
data_out11_reg\[8\],150.91
core.iv1_reg\[25\],150.88
_10531_,150.84
net3147,150.8
_05924_,150.71
data_out1_reg\[30\],150.7
_15786_,150.6
core.data_in_reg\[36\],150.6
_13036_,150.58
core.data_in_reg\[185\],150.5
_12892_,150.36
_17902_,150.32
net1319,150.32
_11664_,150.28
_12444_,150.28
data_out11_reg\[16\],150.28
data_out6_reg\[20\],150.245
core.key5_reg\[10\],150.2
_09656_,150.16
_18171_,150.02
_03748_,150
_07008_,149.92
core.key2_reg\[9\],149.88
data_out0_reg\[1\],149.76
net4879,149.72
_10715_,149.59
core.data_in_reg\[39\],149.54
_04772_,149.52
core.key\[39\],149.5
core.iv1_reg\[31\],149.46
_12453_,149.44
net3207,149.44
core.data_in_reg\[60\],149.4
_07114_,149.345
core.iv1_reg\[24\],149.34
_06008_,149.28
net3060,149.275
_12438_,149.24
_10835_,149.22
data_out0_reg\[30\],149.1
net357,149.08
_08487_,149.06
_17896_,149.035
data_out6_reg\[15\],149.025
net3050,149
_04275_,148.94
core.key\[75\],148.94
_13072_,148.9
_18317_,148.88
core.iv0_reg\[23\],148.78
_11857_,148.7
_05137_,148.6
_07221_,148.54
core.x9_reg\[4\],148.52
core.state12_reg\[16\],148.5
_19643_,148.48
data_out8_reg\[7\],148.46
_03931_,148.4
_05568_,148.36
net1210,148.28
_14063_,148.22
_15464_,147.99
_13575_,147.96
core.data_in_reg\[298\],147.96
core.data_in_reg\[7\],147.96
core.data_in_reg\[299\],147.94
_10736_,147.88
net2923,147.88
_05757_,147.85
_18702_,147.8
_18063_,147.74
_11884_,147.72
_18642_,147.68
_06557_,147.66
core.data_out\[133\],147.58
_06290_,147.54
_18781_,147.48
_17619_,147.34
_13576_,147.28
core.data_in_reg\[300\],147.26
core.data_in_reg\[242\],147.24
_07278_,147.16
_18190_,146.96
_13129_,146.92
_12873_,146.88
core.data_in_reg\[217\],146.8
_05852_,146.78
_07320_,146.62
data_out3_reg\[13\],146.62
_06861_,146.56
_05265_,146.535
_10719_,146.5
core.key\[110\],146.48
_04355_,146.375
_18561_,146.37
_07213_,146.32
_07250_,146.32
core.data_in_reg\[403\],146.32
net298,146.275
net3007,146.24
_10844_,146.18
_16421_,146.13
net301,146.02
data_out6_reg\[21\],145.84
data_out10_reg\[24\],145.78
core.key\[127\],145.76
core.data_in_reg\[113\],145.74
net214,145.74
_12408_,145.68
_04389_,145.64
_19640_,145.54
_15209_,145.5
_18701_,145.5
core.data_in_reg\[368\],145.5
_19175_,145.49
core.qr2.y0\[29\],145.44
_05075_,145.4
_18821_,145.4
core.data_in_reg\[262\],145.4
_04312_,145.39
core.state12_reg\[18\],145.36
_09926_,145.34
core.key\[95\],145.295
_18681_,145.28
_08807_,145.185
_03850_,145.17
_11878_,145.02
net407,144.98
_14596_,144.94
_18962_,144.845
data_out1_reg\[29\],144.82
net3439,144.82
_14542_,144.8
_18188_,144.8
_06935_,144.78
_18137_,144.76
_13539_,144.72
net216,144.68
net4231,144.64
_18584_,144.6
core.key\[76\],144.545
data_out11_reg\[1\],144.52
_11241_,144.46
_12596_,144.44
_12611_,144.16
_12401_,144.09
core.key\[201\],144
_06065_,143.96
core.data_in_reg\[6\],143.96
data_out3_reg\[12\],143.94
core.data_in_reg\[396\],143.82
data_out11_reg\[6\],143.82
data_out7_reg\[14\],143.795
_13235_,143.78
_08609_,143.64
_07222_,143.49
net2942,143.46
_12882_,143.44
_06223_,143.38
data_out3_reg\[20\],143.2
data_out10_reg\[26\],143.1
net3025,143.06
core.x8_reg\[1\],143.015
_16221_,142.98
_06903_,142.955
net3661,142.94
_11714_,142.88
_06413_,142.87
core.data_in_reg\[297\],142.82
_11266_,142.81
_17881_,142.74
_13056_,142.7
core.state4_reg\[9\],142.7
_08387_,142.61
core.key\[252\],142.56
data_out10_reg\[25\],142.495
_05132_,142.46
_13675_,142.455
net218,142.44
core.iv1_reg\[30\],142.42
_12077_,142.38
_05313_,142.36
_18067_,142.32
net2917,142.3
_10869_,142.26
net3347,142.26
net2997,142.16
_09376_,142.15
_06217_,142.12
_11452_,142.12
_17823_,142.08
_11063_,142.06
core.key\[71\],142.005
_05251_,141.98
_12607_,141.98
_17608_,141.89
net3689,141.86
_09575_,141.85
_15782_,141.84
core.key3_reg\[25\],141.84
net3028,141.8
data_out0_reg\[9\],141.79
_12171_,141.76
data_out10_reg\[21\],141.76
_08347_,141.755
_18797_,141.61
_13264_,141.56
_09679_,141.5
_17477_,141.46
_10938_,141.44
_06357_,141.4
data_out10_reg\[31\],141.26
net3502,141.24
_02184_,141.205
_13079_,141.16
_17529_,141.1
_14470_,141.04
core.data_in_reg\[394\],141.04
_06978_,140.99
_15593_,140.99
data_out3_reg\[21\],140.99
net2669,140.96
_11726_,140.92
_10447_,140.72
net2977,140.72
_10470_,140.64
_19307_,140.62
data_out0_reg\[7\],140.58
_10560_,140.48
net4399,140.48
_08470_,140.44
_06683_,140.42
_10118_,140.36
core.keylen,140.285
data_out10_reg\[22\],140.28
net3472,140.26
core.key\[96\],140.185
_16222_,140.06
_07296_,140
core.data_in_reg\[5\],139.9
_18066_,139.79
_16780_,139.78
data_out6_reg\[13\],139.705
core.data_in_reg\[303\],139.58
net2086,139.48
_11656_,139.46
core.data_in_reg\[264\],139.46
_08363_,139.42
net379,139.3
data_out3_reg\[9\],139.26
net2196,139.26
_15152_,139.24
_19685_,139.22
core.x8_reg\[14\],139.07
_12163_,138.83
_18747_,138.78
net3083,138.78
_06159_,138.72
_10792_,138.6
_12279_,138.56
_19798_,138.48
_11473_,138.3
_18761_,138.28
data_out7_reg\[10\],138.28
_13886_,138.24
_18733_,138.16
core.key\[106\],138.16
core.key\[224\],138.12
core.data_in_reg\[296\],138.1
_18200_,138.095
_08369_,138.04
_03968_,138
net2956,137.84
net363,137.82
data_out6_reg\[5\],137.785
core.key2_reg\[5\],137.78
_18170_,137.74
core.key\[200\],137.74
_18696_,137.7
data_out6_reg\[29\],137.585
_07501_,137.54
net385,137.5
net2422,137.48
_09734_,137.44
core.key\[126\],137.36
_13245_,137.35
core.qr2.y0\[5\],137.3
_15982_,137.28
_14054_,137.22
_18338_,137.18
core.data_in_reg\[389\],137.17
_12044_,137.14
_19263_,137.14
core.key\[118\],137.08
_04096_,137.06
core.key\[17\],137
_10870_,136.99
data_out7_reg\[11\],136.96
core.key\[77\],136.915
_09797_,136.8
core.key\[38\],136.7
_08516_,136.68
_06285_,136.48
core.key\[27\],136.4
data_out11_reg\[12\],136.36
core.data_in_reg\[435\],136.26
core.data_in_reg\[25\],136.24
net4098,136.24
core.key4_reg\[28\],136.22
data_out3_reg\[11\],136.16
net3419,136.16
_09884_,136.1
_12603_,136.1
core.state4_reg\[11\],136.035
_06347_,136
net2701,135.84
_08176_,135.76
_17844_,135.74
core.key\[121\],135.58
net3151,135.58
net3495,135.54
_09603_,135.47
_05463_,135.4
core.data_in_reg\[263\],135.36
_18227_,135.345
core.data_in_reg\[404\],135.3
data_out3_reg\[17\],135.28
_11923_,135.2
core.data_in_reg\[434\],135.2
_16767_,135.18
_12844_,135.17
_18717_,135.17
_06471_,135.16
_06204_,135.14
_08194_,135.14
_14798_,135.08
net2927,134.94
net3453,134.84
core.data_in_reg\[446\],134.82
_08429_,134.81
data_out3_reg\[15\],134.8
_06436_,134.6
net3002,134.6
_09876_,134.53
_06803_,134.475
net339,134.46
_14146_,134.44
core.data_in_reg\[27\],134.42
_16389_,134.36
data_out10_reg\[12\],134.36
_18914_,134.32
_07895_,134.24
_09647_,134.24
core.key\[108\],134.2
core.data_out\[130\],134.06
net1922,134.04
_18353_,134.01
core.data_in_reg\[391\],133.93
net4788,133.93
core.key4_reg\[29\],133.92
core.key5_reg\[13\],133.78
net2891,133.74
_06214_,133.72
net2894,133.72
_06622_,133.695
core.key\[37\],133.58
_11055_,133.56
net2521,133.56
_14465_,133.48
_11940_,133.42
_16107_,133.4
_04548_,133.37
net2905,133.26
_04447_,133.245
net2921,133.17
_16045_,133.14
_12803_,133.1
net2995,133.09
_12605_,133.08
net2930,132.96
_10641_,132.9
_13074_,132.88
_08273_,132.82
_15986_,132.74
_07644_,132.72
_08492_,132.68
core.data_in\[478\],132.68
_13261_,132.67
_18355_,132.64
_11622_,132.62
net309,132.54
_17604_,132.5
data_out10_reg\[23\],132.46
net988,132.43
core.data_in_reg\[402\],132.38
_18114_,132.36
net4214,132.355
_17700_,132.3
core.key3_reg\[24\],132.3
_06267_,132.26
_04557_,132.22
net756,132.22
core.key\[160\],132.16
_05217_,132
_11860_,131.94
core.state6_reg\[14\],131.94
_13324_,131.92
net3122,131.9
core.data_in_reg\[59\],131.84
net2133,131.84
net3632,131.82
core.key\[122\],131.76
_13037_,131.72
net3486,131.66
_16188_,131.6
core.key\[123\],131.58
_07023_,131.56
core.iv1_reg\[20\],131.54
_08525_,131.46
data_out0_reg\[3\],131.32
core.key3_reg\[20\],131.3
_17919_,131.2
net2924,131.2
_13370_,131.16
_17898_,131.14
_18732_,131.04
_15453_,131.02
net4274,131.02
_17598_,131.01
_11765_,130.98
_08591_,130.89
_04758_,130.86
core.key\[94\],130.855
_11095_,130.8
_11719_,130.68
_11876_,130.68
_10093_,130.6
_18622_,130.59
core.data_in_reg\[309\],130.58
_10628_,130.54
_12394_,130.54
core.iv1_reg\[23\],130.54
