net,length_um
core.x4_reg\[9\],862.9
_13935_,862.82
net42,862.24
_19199_,862.175
_09620_,857.52
_09421_,856.795
core.x5_reg\[31\],856.72
_11051_,855.69
core.x4_reg\[20\],855.125
_19434_,854.65
_10667_,854.43
_09397_,854.18
_09745_,853
core.x6_reg\[6\],852.78
_05990_,852.555
_18856_,852.45
core.key0_reg\[3\],851.375
_19239_,851.11
_15236_,850.98
_10810_,848.75
net63,847.78
net46,846.84
core.x4_reg\[12\],846.58
_19189_,845.86
_17218_,845.12
data_out13_reg\[3\],845.12
_18831_,845.08
_18084_,843.02
_10868_,842.56
_12729_,842.11
core.x6_reg\[20\],841.79
_18887_,840.18
_06157_,840.12
_05347_,839.54
data_out13_reg\[4\],838.525
core.x6_reg\[2\],838.01
_08051_,837.51
_05988_,836.255
core.x4_reg\[23\],835.96
core.x6_reg\[5\],835.705
core.x5_reg\[6\],833.36
core.key1_reg\[13\],832.8
_13382_,831.8
core.x4_reg\[31\],831.66
_05292_,831.64
core.x6_reg\[3\],830.74
_17141_,830.16
_14084_,829.66
_18877_,829.01
_07324_,828.88
_05050_,828.775
core.key1_reg\[10\],828.44
_06695_,828.09
_09654_,825.96
_11825_,825.93
_10678_,824.495
_18854_,824.47
core.x5_reg\[2\],824.01
_11072_,823.73
_09418_,823.64
net76,822.68
core.qr2.y0\[1\],822.58
_19248_,822.23
_04614_,821.65
core.x6_reg\[4\],821.49
core.x5_reg\[4\],821.36
_13356_,821.22
core.x5_reg\[0\],820.235
_12252_,820.18
core.x6_reg\[0\],816.91
_07219_,816.67
_03970_,816.43
_15994_,814.9
_09502_,814.79
_09635_,811.64
_11952_,811.06
_09537_,810.43
core.x5_reg\[3\],809.75
_10496_,809.54
_10877_,809.5
core.x4_reg\[21\],808.98
_15996_,807.23
core.x6_reg\[21\],807.2
core.x5_reg\[5\],807.1
_09540_,805.62
_04354_,804.62
_05982_,804.07
core.key1_reg\[14\],803.71
_09607_,803.44
core.x6_reg\[22\],802.9
core.x4_reg\[18\],802.79
core.x6_reg\[16\],802.72
core.key0_reg\[19\],802.16
_09742_,802.09
_09858_,802.015
net34,801.52
_07216_,800.44
core.qr0.y0\[31\],799.64
core.x6_reg\[31\],798.57
core.key0_reg\[1\],798.29
_12227_,797.8
_15100_,797.47
_09889_,797.14
core.x6_reg\[18\],797.06
_09642_,796.65
_10894_,796.58
net77,796.05
net50,794.65
_19345_,794.27
core.x6_reg\[1\],793.53
net74,793.31
_11047_,793.14
core.x5_reg\[1\],792.25
core.x4_reg\[17\],792.11
_10333_,791.69
_19229_,791
_10642_,790.96
_10814_,790.94
_13132_,790.72
_12275_,790.705
_07309_,790.18
core.x4_reg\[30\],790.14
_07314_,788.575
net3463,787.8
_18100_,787.34
data_out13_reg\[29\],787.17
_07239_,786.66
_07301_,786.42
_09732_,786.12
core.x6_reg\[19\],783.27
_19233_,782.3
core.qr2.y0\[4\],782.12
_18860_,780.9
_16010_,780.5
_14664_,780.26
core.x6_reg\[17\],780.17
core.x6_reg\[23\],779.95
_19231_,779.77
net17,779.18
_18858_,778.87
core.x4_reg\[24\],778.15
core.x4_reg\[14\],777.9
core.x6_reg\[27\],777.7
_05304_,776.78
core.x4_reg\[29\],774.38
_06927_,774.2
core.x4_reg\[28\],773.37
_09866_,772.58
core.x4_reg\[19\],772.425
_09791_,770.49
net4172,768.98
_07019_,767.58
net3467,767.4
core.x6_reg\[26\],766.23
data_out2_reg\[3\],765.12
core.x4_reg\[16\],764.68
core.x4_reg\[27\],764.04
_09582_,763.82
core.x6_reg\[28\],763.18
_07156_,761.99
_08189_,761.745
_11814_,761.59
core.x4_reg\[15\],760.54
_10890_,760.3
core.x4_reg\[22\],760.04
_09579_,759.715
_08050_,759.33
net4227,759.04
data_out14_reg\[27\],758.46
core.key1_reg\[12\],758.42
_13369_,757.67
core.x6_reg\[24\],757.62
core.qr2.y0\[13\],756.635
_07936_,756.33
_07431_,756.16
core.x4_reg\[13\],755.635
core.x6_reg\[29\],755.58
net60,755.46
clk,753.6
_04613_,751.27
_07910_,750.78
core.x4_reg\[0\],750.09
_07397_,749.96
_05298_,749.4
_10751_,749.19
net8,748.06
core.key1_reg\[8\],747.415
_18891_,747.15
core.x6_reg\[25\],746.96
net75,746.94
core.x13_reg\[20\],746.72
net10,746.22
net4397,746.2
core.qr0.y0\[1\],743.74
data_out2_reg\[2\],742.78
core.x6_reg\[30\],742.48
net4384,741.3
net4316,740.98
_10776_,740.32
_10886_,740.29
_07194_,740.12
_09849_,739.8
_19237_,738.14
_09874_,736.82
_07361_,736.76
_07415_,736.36
core.qr0.y0\[23\],736.15
data_out14_reg\[28\],735.3
core.x4_reg\[11\],734.515
_10402_,733.32
_07347_,733.2
core.key1_reg\[17\],732.92
_10789_,732.34
net4069,732.15
data_out14_reg\[1\],730.82
core.x13_reg\[18\],729.95
_09709_,729.86
clknet_3_1_0_clk,728.29
core.x4_reg\[10\],727.5
_09554_,725.59
_07259_,724.04
_10840_,723.64
_18813_,723.32
_05951_,722.34
data_out13_reg\[5\],722
_10765_,721.83
_16015_,720.76
_07176_,720.52
_10739_,720.4
net199,720.2
_06945_,719.79
_05984_,719.63
_09740_,719.46
net4358,719.45
core.x7_reg\[14\],719.11
core.x4_reg\[26\],719.06
_04360_,718.6
_19442_,718.34
_06078_,718.31
_09807_,717.96
_10900_,717.38
_07070_,715.56
core.x7_reg\[22\],715.35
_03914_,715.23
clknet_6_63_0_clk,713.77
_08691_,713.74
core.qr0.y0\[30\],713.1
_19246_,712.93
_06011_,711.78
_19174_,710.155
core.x14_reg\[14\],708.415
_06955_,707.24
core.x7_reg\[13\],706.98
net122,704.64
_05865_,703.55
_07964_,702.34
net4580,701.49
_14907_,700.88
_07090_,699.92
_19252_,699.22
_08635_,698.59
_12216_,698.54
_11954_,698.44
net4410,696.73
core.x4_reg\[25\],696.29
net37,695.44
_12523_,694.12
_03917_,691.54
net53,691.34
_17111_,691.16
_09735_,691.09
_09726_,690.9
clknet_3_3_0_clk,690.83
_08372_,690.78
core.x15_reg\[8\],690.22
net4229,687.93
_07888_,687.5
_08005_,686.52
_09703_,686.42
core.x13_reg\[21\],685.545
_07408_,685.49
core.key0_reg\[0\],684.95
_11588_,683.9
core.x14_reg\[15\],683.37
core.x7_reg\[10\],683.05
_07866_,682.45
core.x7_reg\[15\],681.74
_10040_,680.56
_18904_,679.77
clknet_3_2_0_clk,677.85
core.qr0.y0\[18\],677.6
data_out13_reg\[2\],676.425
core.x13_reg\[17\],676.3
_09576_,675.83
_06951_,675.56
_08560_,675.39
_19244_,675.31
clknet_3_4_0_clk,674.74
clknet_3_5_0_clk,674.18
_08388_,674.1
_08364_,673.8
_06000_,673.72
_08696_,673.28
_17045_,672.85
_12496_,672.41
_12202_,671.57
core.x15_reg\[13\],671.31
core.key1_reg\[21\],670.51
core.iv\[63\],670.08
core.x14_reg\[18\],669.755
_05816_,669.58
_04021_,669.32
core.key2_reg\[18\],668.67
_05863_,668.3
_18041_,667.84
_09885_,667.8
_07345_,667.66
_07184_,666.925
net100,666.92
core.x14_reg\[11\],666.9
_05912_,666.81
core.x4_reg\[2\],666.68
core.x4_reg\[8\],666.32
core.x13_reg\[16\],666.03
_07080_,666.005
_11657_,664.52
_05919_,664.105
_05927_,664
_05847_,662.7
clknet_3_0_0_clk,662.18
core.key2_reg\[17\],662.16
_06422_,662.06
_08344_,661.08
core.iv\[62\],660.58
core.x7_reg\[2\],660.19
net59,660.04
core.qr_ctr_inc,659.74
_07525_,659.46
core.x13_reg\[19\],659.1
core.x15_reg\[9\],658.96
_06101_,658.66
_08450_,658.55
_09829_,658.23
_18082_,658.22
_19443_,658.05
_08879_,655.84
core.x7_reg\[8\],655.08
core.x7_reg\[31\],654.73
_09877_,654.54
_07443_,654.08
core.iv\[33\],653.3
_13126_,653.18
core.x7_reg\[12\],653
core.x14_reg\[17\],652.89
core.x7_reg\[7\],652.18
_07889_,651.94
core.key1_reg\[15\],651.915
core.iv\[54\],651.79
_08668_,651.25
_19563_,650.56
clknet_6_5_0_clk,649.86
core.x13_reg\[22\],649.27
core.key1_reg\[20\],649.23
_13125_,649.16
core.x14_reg\[10\],648.41
core.x4_reg\[7\],648.38
net51,648.38
core.x15_reg\[10\],648.255
_08370_,647.54
data_out13_reg\[9\],647.4
_08894_,647.22
core.key2_reg\[22\],646.43
core.x7_reg\[9\],646.08
_04018_,645.9
core.key1_reg\[23\],644.76
_06056_,644.015
_18250_,642.92
core.iv\[36\],642.75
core.x4_reg\[4\],642.72
_05945_,642.53
core.key0_reg\[2\],642.53
_18852_,642.42
core.x7_reg\[21\],642.07
core.key0_reg\[5\],641.42
core.key1_reg\[16\],641.02
core.key2_reg\[21\],640.1
_10032_,639.5
_12209_,639.48
core.key1_reg\[18\],638.95
core.key2_reg\[20\],638.66
core.x15_reg\[15\],638.56
core.x4_reg\[1\],637.69
core.x7_reg\[0\],637.25
_09377_,637.13
_10049_,637.13
_08556_,637.07
_08062_,636.44
_18092_,636.35
data_out13_reg\[10\],635.56
_09689_,634.75
_19642_,634.5
_11816_,634.46
_08413_,632.72
core.key0_reg\[12\],632.66
_12460_,632.54
data_out13_reg\[8\],632.14
core.x13_reg\[23\],632.08
_19639_,631.86
core.x15_reg\[22\],631.57
data_out12_reg\[1\],631.37
_09715_,630.92
core.x4_reg\[6\],630.1
core.iv\[52\],628.84
core.x7_reg\[1\],628.23
data_out2_reg\[4\],627.94
core.iv\[30\],627.76
core.x15_reg\[11\],627.665
_19559_,627.5
_09427_,626.96
_16998_,626.88
_04101_,626.68
_09718_,626.68
core.iv\[60\],626.4
